sku,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,weight_kg,rotation
CB-L,550,50,0.0,260.0,420.0,560.0,1.0,3
CB-L,550,50,560.0,260.0,420.0,560.0,1.0,3
CB-L,200,400,0.0,260.0,420.0,560.0,1.0,3
